truth_group,case_id,execution_kind,expected_outcome,observed_outcome,expected_error_code,observed_error_code,expected_reason,observed_reason,passed,blocks_candidate,evaluator_io_used,truth_passed
passed,PASSED_001_ABSENT_CYS_SG,rule_result,passed,passed,,,,,true,false,false,true
passed,PASSED_002_GENERIC_SER_CA,rule_result,passed,passed,,,,,true,false,false,true
passed,PASSED_003_LOWERCASE_CYS,rule_result,passed,passed,,,,,true,false,false,true
blocked,BLOCKED_001_UNKNOWN_INSERTION,rule_result,blocked,blocked,,,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,false,true,false,true
blocked,BLOCKED_002_MISSING_EVIDENCE,rule_result,blocked,blocked,,,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_MISSING,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_MISSING,false,true,false,true
blocked,BLOCKED_003_PROVIDER,rule_result,blocked,blocked,,,PROVIDER_BLOCKED,PROVIDER_BLOCKED,false,true,false,true
blocked,BLOCKED_004_QUOTE_CLASS,rule_result,blocked,blocked,,,COVALENT_RESIDUE_INSERTION_PRESENT_QUOTE_CLASS_UNVERIFIED,COVALENT_RESIDUE_INSERTION_PRESENT_QUOTE_CLASS_UNVERIFIED,false,true,false,true
invalid_rule_result,INVALID_001_CANDIDATE_NON_MAPPING,rule_result,invalid,invalid,,,ADMIT_004_CANDIDATE_RECORD_MAPPING_INVALID,ADMIT_004_CANDIDATE_RECORD_MAPPING_INVALID,false,true,false,true
invalid_rule_result,INVALID_002_MALFORMED_NESTED_CONTEXT,rule_result,invalid,invalid,,,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_MAPPING_INVALID,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_MAPPING_INVALID,false,true,false,true
invalid_rule_result,INVALID_003_PROVIDER_PROPAGATED,rule_result,invalid,invalid,,,PROVIDER_INVALID,PROVIDER_INVALID,false,true,false,true
dispatch_error,DISPATCH_001_RULE_ID_NON_STR,dispatch_error,,,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,,,,true
dispatch_error,DISPATCH_002_RULE_ID_STR_SUBCLASS,dispatch_error,,,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,,,,true
dispatch_error,DISPATCH_003_UNKNOWN,dispatch_error,,,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,,,,true
dispatch_error,DISPATCH_004_ADMIT_001,dispatch_error,,,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,,,true
dispatch_error,DISPATCH_005_ADMIT_002,dispatch_error,,,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,,,true
dispatch_error,DISPATCH_006_ADMIT_003,dispatch_error,,,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,,,true
dispatch_error,DISPATCH_007_ADMIT_005,dispatch_error,,,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,,,,true
dispatch_error,DISPATCH_008_ADMIT_015,dispatch_error,,,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,,,,true
dispatch_error,DISPATCH_009_EVALUATION_NONE,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_004_EVALUATION_CONTEXT_MAPPING_REQUIRED,ADMIT_004_EVALUATION_CONTEXT_MAPPING_REQUIRED,,,,true
dispatch_error,DISPATCH_010_EVALUATION_NON_MAPPING,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_004_EVALUATION_CONTEXT_MAPPING_REQUIRED,ADMIT_004_EVALUATION_CONTEXT_MAPPING_REQUIRED,,,,true
dispatch_error,DISPATCH_011_BATCH_NON_NONE,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_004_BATCH_CONTEXT_MUST_BE_NONE,ADMIT_004_BATCH_CONTEXT_MUST_BE_NONE,,,,true
dispatch_error,DISPATCH_012_DOWNLOAD_NON_NONE,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_004_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,ADMIT_004_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,,,,true
dispatch_error,DISPATCH_013_STAGE_NON_NONE,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_004_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,ADMIT_004_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,,,,true
dispatch_error,DISPATCH_014_CONTEXT_PRECEDENCE,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_004_BATCH_CONTEXT_MUST_BE_NONE,ADMIT_004_BATCH_CONTEXT_MUST_BE_NONE,,,,true
